,Gene
908,KCNJ5
909,KCNJ8
910,KCNK16
911,KCNK3
912,KCNS3
913,KCNV1
914,KDM2B
915,KDM5B
916,KDM6B
917,KEAP1
918,KHDRBS1
919,KIAA0100
920,KIAA0319L
921,KIAA1522
922,KIAA1586
923,KIAA1958
924,KIF7
925,KIF9
926,KIFC1
927,KISS1
928,KLC2
929,KLF4
930,KLHDC9
931,KLHL15
932,KLHL20
933,KLRC1
934,KMT5A
935,KNTC1
936,KRI1
937,KRT19
938,KRT4
939,KRTAP13-3
940,KRTAP19-4
941,KRTAP21-2
942,KRTAP22-1
943,KRTAP5-2
944,KRTAP8-1
945,KSR2
946,L2HGDH
947,LACTB
948,LAMA3
949,LAPTM4A
950,LAPTM5
951,LARGE2
952,LCAT
953,LCN8
954,LDLR
955,LDLRAD2
956,LDLRAD4
957,LEPR
958,LGR5
959,LIAS
960,LIF
961,LILRB5
962,LINGO2
963,LIPC
964,LIPG
965,LMOD1
966,LMX1B
967,LNPK
968,LOXL2
969,LPA
970,LPL
971,LPP
972,LRP1
973,LRP10
974,LRP2
975,LRP4
976,LRP5
977,LRR1
978,LRRC66
979,LRRC74A
980,LRRC75B
981,LRRC8A
982,LRRC8D
983,LSM1
984,LSMEM1
985,LST1
986,LTBP3
987,LTBP4
988,LXN
989,LY6G6C
990,LY6G6F
991,LY6G6F-LY6G6D
992,LY75
993,LY75-CD302
994,LYZ
995,LYZL6
996,LZTS2
997,LZTS3
998,MAGEH1
999,MAGIX
1000,MAGOHB
1001,MAK16
1002,MAMDC2
1003,MAN1A1
1004,MAN1C1
1005,MAN2A1
1006,MAP2K2
1007,MAP3K10
1008,MAP3K11
1009,MAP3K15
1010,MAP3K4
1011,MAPK8
1012,MAPK8IP1
1013,MAPRE3
1014,MAS1
1015,MAS1L
1016,MASTL
1017,MB21D2
1018,MBOAT7
1019,MC1R
1020,MC3R
1021,MC4R
1022,MCCD1
1023,MCF2L
1024,MCTP1
1025,MDC1
1026,ME2
1027,ME3
1028,MED12
1029,MED20
1030,MED22
1031,MED7
1032,MEPCE
1033,MEPE
1034,MEST
1035,METAP1
1036,METRN
1037,METTL5
1038,MEX3A
1039,MFSD12
1040,MFSD2A
1041,MFSD2B
1042,MFSD3
1043,MFSD4A
1044,MFSD9
1045,MICA
1046,MICAL1
1047,MICAL3
1048,MICB
1049,MIF4GD
1050,MINDY3
1051,MIP
1052,MIPEP
1053,MITF
1054,MKRN2
1055,MLF1
1056,MLLT3
1057,MLXIP
1058,MLXIPL
1059,MNT
1060,MOB1B
1061,MOB3A
1062,MOB3C
1063,MOGAT3
1064,MORN3
1065,MPDU1
1066,MPL
1067,MPND
1068,MPO
1069,MPZ
1070,MROH2A
1071,MRPL1
1072,MRPL18
1073,MRPL20
1074,MRPL9
1075,MRPS15
1076,MRS2
1077,MS4A4E
1078,MS4A6A
1079,MSR1
1080,MSTN
1081,MT1B
1082,MT1M
1083,MTDH
1084,MTERF4
1085,MTMR11
1086,MTMR2
